;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Budget Line #;;Activity ID;Module;Intervention;Activity;Cost input;UNDP Budget account;Measurement unit;Unit cost;Q1 quantity; Q1 amount ;Q2 quantity; Q2 amount ;Q3 quantity; Q3 amount ;Q4 quantity; Q4 amount ; Amount Total ;;;;;
65;;137;Gestión de programas;Gestión de subvenciones;PROCOSI RRHH;1.7 Salarios: en los centros, incluidos profesionales médicos y otros proveedores de servicios;71810;USD;57.000,00;0,00; -   ;0,40; 22.800,00 ;0,30; 17.100,00 ;0,30; 17.100,00 ; 57.000,00 ;;;;;
66;;138;Gestión de programas;Gestión de subvenciones;PROCOSI Costos de oficina (material y alquiler);11.1 Costos relacionados con oficinas;73120;USD;4.030,00;0,00; -   ;0,65; 2.602,00 ;0,18; 714,00 ;0,18; 714,00 ; 4.030,00 ;;;;;
67;;140;Gestión de programas;Gestión de subvenciones;PROCOSI Seguro de vida personal;1.7 Salarios: en los centros, incluidos profesionales médicos y otros proveedores de servicios;74515;USD;2.000,00;0,00; -   ;0,40; 800,00 ;0,30; 600,00 ;0,30; 600,00 ; 2.000,00 ;;;;;
68;;141;Gestión de programas;Gestión de subvenciones;PROCOSI Capacitación personal;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;75700;USD;660,00;0,00; -   ;1,00; 660,00 ;0,00; -   ;0,00; -   ; 660,00 ;;;;;
69;;142;Gestión de programas;Gestión de subvenciones;PROCOSI Supervisión;2.3 Viáticos, transporte u otros costos relacionados con la supervisión;71610;USD;4.150,00;0,00; -   ;0,40; 1.660,00 ;0,30; 1.245,00 ;0,30; 1.245,00 ; 4.150,00 ;;;;;
70;;142;Gestión de programas;Gestión de subvenciones;PROCOSI Supervisión;2.3 Viáticos, transporte u otros costos relacionados con la supervisión;71620;USD;3.000,00;0,00; -   ;0,40; 1.200,00 ;0,30; 900,00 ;0,30; 900,00 ; 3.000,00 ;;;;;
71;;143;Gestión de programas;Gestión de subvenciones;PROCOSI Seguros de oficina;3.5 Costos relacionados con el seguro;74515;USD;2.000,00;0,00; -   ;0,40; 800,00 ;0,30; 600,00 ;0,30; 600,00 ; 2.000,00 ;;;;;
72;;;;;;;;;;0,00; -   ;0,40; -   ;0,30; -   ;0,30; -   ; -   ;;;;;
73;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
74;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
75;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
76;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
77;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
78;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
79;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
80;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
81;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
82;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
83;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
84;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
85;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
86;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
87;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
88;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
89;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
90;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
91;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
92;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
93;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
94;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
95;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
96;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
97;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
98;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
99;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
100;;;;;;;;;;0,00; -   ;0,00; -   ;0,00; -   ;0,00; -   ; -   ;;;;;
Total;;;;;;;;;;; -   ;; 228.087,95 ;; 223.495,92 ;; 113.174,70 ; 564.758,57 ;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Signature ;;;;;;;Signature;;;;;;;;;;;;;;;;
Name ;;;;;;;Name ;;;;;;;;;;;;;;;;
Title ;;;;;;;Title ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Place ;;;;;;;Place ;;;;;;;;;;;;;;;;
Date ;;;;;;;Date;;;;;;;;;;;;;;;;
